Material type,ISBN,Name,All names,Title,Variant titles,Country of publication,Publisher,Year of publication,Edition,Topics,Genres,Languages
Volume,9780224022934,Roald Dahl,Roald Dahl ; Quentin Blake,Dirty beasts,,England,Cape,1984,,"Children's poetry, English ; English poetry ; Animals--Juvenile poetry ; Humorous poetry ; Animals--Poetry ; Poetry in English--1945---Texts",,English
Volume,9780224024075,Roald Dahl,,Going solo,,England,Cape,1986,,"Fiction in English--Roald Dahl--1916---Biographies ; World War, 1939-1945--Personal narratives, British ; Authors, English--20th century--Biography",,English
Volume,9780224025720,Roald Dahl,Roald Dahl ; Quentin Blake,Matilda,,England,Cape,1988,,Humorous stories ; Schools--Fiction ; Children's stories in English--1945---Texts,Children's literature,English
Volume,9780224026604,Roald Dahl,Roald Dahl ; Quentin Blake,Rhyme stew,,England,Cape,1989,,Parodies ; Nonsense verses ; Poetry in English--1945---Texts ; English poetry,,English
Volume,9780224027861,Roald Dahl,Roald Dahl ; Quentin Blake,Esio Trot,,England,Cape,1990,,Children's stories in English--1900-1945--Texts ; Turtles--Fiction ; Size--Fiction,,English
Volume,9780224028998,Roald Dahl,Patrick Benson ; Roald Dahl,The minpins,,England,Cape,1991,,English fiction--Children's stories,,English
Volume,9780224029322,Roald Dahl,Roald Dahl ; Quentin Blake,Roald Dahl's revolting rhymes,,England,Cape,1982,,"Children's poetry, English ; Fairy tales--Adaptations ; English poetry ; Poetry in English--1900-1945--Texts ; Narrative poetry ; Humorous poetry",,English
Volume,9780224029858,Roald Dahl,,Boy : tales of childhood,,England,Cape,1984,,"Roald Dahl--Childhood and youth--Juvenile literature ; Fiction in English--Roald Dahl--Biographies ; Authors, English--20th century--Biography--Juvenile literature",,English
Volume,9780224029995,Roald Dahl,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,England,Cape,1985,,Giraffe--Fiction ; Candy--Fiction ; Pelicans--Fiction ; Monkeys--Fiction ; Children's stories in English--1945---Texts,Children's literature,English
Volume,9780224032841,Roald Dahl,,"Boy; and, Going solo : an autobiographical account 1916-1941",Going solo,England,Cape,1992,,English fiction ; Roald Dahl,,English
Volume,9780224035804,Roald Dahl,Roald Dahl ; Quentin Blake,The giraffe and the pelly and me,,England,Cape,1992,,English fiction--Children's stories,,English
Volume,9780224035897,Roald Dahl,Roald Dahl ; Quentin Blake,Roald Dahl's revolting rhymes & dirty beasts,Dirty beasts ; Revolting rhymes,England,Cape,1992,,English poetry,,English
Volume,9780224036474,Roald Dahl,,My year,,England,Cape,1993,,English fiction ; Roald Dahl,,English
Volume,9780224037495,Roald Dahl,Roald Dahl ; Quentin Blake,"Danny, the champion of the world",,England,Jonathan Cape,1994,,English fiction--Children's stories,,English
